gen	Guild	Trophic Mode
Teratosphaeriaceae	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Thanatephorus	Plant Pathogen	Pathotroph
Thelephoraceae	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph
Thielavia	Dung Saprotroph-Undefined Saprotroph	Saprotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Tomentellopsis	Ectomycorrhizal	Symbiotroph
Trametes	Wood Saprotroph	Saprotroph
Trechispora	Wood Saprotroph	Saprotroph
Trichoderma	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Trichoglossum	Undefined Saprotroph	Saprotroph
Tricholoma	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Tricholomataceae	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Trichosporon	Animal Pathogen	Pathotroph
Trichothecium	Plant Pathogen	Pathotroph
Tuberaceae	Ectomycorrhizal	Symbiotroph
Tulasnellaceae	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph
Umbelopsis	Undefined Saprotroph	Saprotroph
Uncinocarpus	Undefined Saprotroph	Saprotroph
Ustilago	Plant Pathogen	Pathotroph
Venturiaceae	Endophyte-Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Wallemia	Undefined Saprotroph	Saprotroph
Warcupia	Undefined Saprotroph	Saprotroph
Wilcoxina	Ectomycorrhizal	Symbiotroph
Xanthoconium	Ectomycorrhizal	Symbiotroph
Xenopolyscytalum	Undefined Saprotroph	Saprotroph
Xylodon	Undefined Saprotroph	Saprotroph
Yarrowia	Undefined Saprotroph	Saprotroph
Zygosaccharomyces	Plant Pathogen	Pathotroph
