"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"48254"	722	732	673	802	689	832	806	706	753	733	635	687	734	736	795	827	825	627	699	840	696	757	724	716	792	774	724	712	881	686	746	739	687	801	674	807
"4950"	226	285	210	315	256	323	284	315	218	242	173	320	304	314	207	248	309	262	262	340	225	297	280	356	355	244	224	246	276	214	240	192	223	260	204	252
"588726"	727	878	786	1045	768	913	893	798	899	942	696	908	918	802	843	971	923	709	772	940	796	765	811	887	825	871	921	867	984	704	975	739	866	852	788	808
"432096"	219	288	169	320	216	300	314	266	246	265	180	358	330	307	247	219	232	191	309	259	223	316	255	531	305	187	243	176	263	257	319	156	159	223	196	233
"27289"	529	731	487	880	655	790	739	712	556	755	489	807	707	708	678	703	717	465	755	780	715	782	649	774	724	631	673	583	824	641	832	522	494	632	619	616
"27288"	333	591	344	485	392	645	425	515	334	692	299	519	475	521	383	466	508	354	479	543	426	470	452	555	493	403	474	333	603	345	598	313	306	377	419	383
"4911"	488	715	498	695	538	605	643	633	572	642	403	716	673	579	584	581	591	695	590	614	542	682	538	673	642	551	603	490	725	450	668	474	455	508	602	507
"28985"	283	337	221	342	272	335	419	338	275	344	221	416	378	320	314	291	321	301	320	346	286	394	328	385	392	311	300	300	453	260	338	251	276	349	249	340
"1071379"	417	613	393	649	530	637	601	563	487	569	334	864	501	625	473	533	537	413	607	637	475	674	486	665	870	501	546	418	640	464	720	404	435	472	460	547
"113608"	272	440	253	481	330	470	443	414	286	397	237	519	441	386	339	293	371	334	423	392	375	477	343	442	448	356	324	251	368	286	473	290	250	339	289	349
"5478"	480	629	443	637	551	669	728	621	529	646	375	614	620	605	522	549	640	487	591	671	492	523	549	621	609	562	562	545	687	515	686	480	456	609	500	529
"42260"	381	403	306	459	415	413	478	434	333	382	306	449	443	462	370	399	422	359	456	536	375	394	351	487	480	364	415	337	521	367	412	319	361	373	340	403
"4956"	362	448	289	492	355	452	435	443	367	422	298	530	412	387	390	363	408	305	411	462	394	414	330	458	494	414	408	334	448	307	559	307	299	374	335	347
"5007"	1231	1709	1254	1551	1180	1665	1408	1481	1421	1506	1262	1228	1352	1414	1325	1705	1524	1298	1340	1471	1398	1483	1168	1391	1452	1658	1568	1293	1545	1204	1512	1223	1222	1446	1279	1409
"13502"	531	677	526	668	567	693	724	578	514	621	408	604	714	628	621	553	658	567	645	712	599	659	616	661	801	557	617	600	681	545	669	446	444	611	520	570
"1005962"	988	1166	1051	1223	954	1261	1050	1080	1051	1113	938	1075	1126	1015	1008	1151	1153	1026	940	1086	1004	1033	952	983	1204	1126	1142	1129	1187	859	1183	1022	995	1121	949	1051
"4909"	345	479	312	435	387	508	441	405	279	390	278	463	413	456	412	419	420	343	449	526	348	472	389	491	626	420	428	350	485	286	496	274	342	328	370	367
"42374"	580	1062	650	1012	809	1031	1016	1067	732	962	558	1135	1011	1068	741	822	960	759	930	1120	915	935	914	1086	990	813	828	618	1298	682	1192	533	575	690	697	868
"5476"	443	737	425	884	612	808	669	663	616	720	434	802	653	726	589	534	667	484	701	756	553	744	584	703	826	527	604	466	737	466	1203	449	448	526	442	583
"273371"	392	639	344	544	556	681	565	614	415	618	329	588	543	566	524	457	582	450	590	624	447	590	490	699	664	531	533	377	673	488	667	371	394	507	413	505
"4924"	469	504	385	624	548	588	703	542	504	551	430	602	596	629	576	499	594	474	523	567	477	546	543	589	579	495	524	521	630	486	559	533	426	585	471	509
"4959"	242	343	215	382	282	371	378	328	285	291	179	408	434	311	307	268	296	252	364	359	277	376	289	396	357	265	327	206	337	260	323	250	220	269	254	300
"4952"	1973	2533	2226	2432	2072	2596	2406	2380	2247	2274	1917	2265	2330	2197	2155	2491	2441	2204	2060	2446	2177	2319	2232	2338	2431	2581	2325	2430	2562	1912	2531	2218	2133	2360	2192	2455
"796027"	729	1051	822	1036	1031	1212	1186	900	965	947	714	1041	1131	1002	866	923	1042	834	1001	1070	936	1072	939	1183	1270	984	1023	794	1321	758	1083	832	941	971	819	918
"460519"	255	331	264	316	326	367	384	329	289	319	209	371	386	346	327	334	341	283	310	374	282	349	327	330	349	298	328	314	400	287	326	294	263	318	224	362
"4896"	1964	2387	1699	2625	2159	2586	2227	2121	2029	2207	1492	2211	2554	2309	2139	1971	2326	1984	2345	2482	2142	2274	2133	2522	2592	1856	2160	1964	2684	2005	2156	1805	1785	1961	1819	2271
"280036"	6601	9244	7755	8318	6919	9014	8041	7910	8069	8198	6919	8314	7598	7475	7649	8721	8678	7298	6927	8456	8133	7702	6837	7995	8140	9369	8907	7710	8761	6228	9210	7492	7063	8180	7611	8128
